"a_number","b_number","duration","calleeCarrier","weight","startTime","callDay","startDate"
"5","4","444","","1.0","52641.0","Saturday","20150902"
"5","0","48","","1.0","101953.0","Thursday","20150914"
"5","0","41","","1.0","44534.0","Friday","20150908"
"5","2","250","","8401.0","104242.0","Wednesday","20150906"
"5","2","23","","1.0","24311.0","Thursday","20150921"
"5","0","341","","1.0","163644.0","Wednesday","20150927"
"0","4","127","","26881.0","103810.0","Tuesday","20150912"
"0","4","387","","1.0","225859.0","Tuesday","20150912"
"0","5","205","","41281.0","174138.0","Thursday","20150928"
"0","5","485","","1.0","65458.0","Friday","20150915"
"0","5","200","","1.0","33959.0","Monday","20150904"
"0","5","484","","1.0","33352.0","Saturday","20150909"
"0","3","451","","50401.0","232057.0","Thursday","20150921"
"0","5","320","","1.0","82237.0","Monday","20150918"
"0","3","280","","1.0","131341.0","Saturday","20150909"
"0","1","182","","13441.0","232225.0","Tuesday","20150919"
"0","3","389","","1.0","224650.0","Monday","20150925"
"0","3","413","","1.0","1027.0","Friday","20150901"
"0","1","207","","1.0","192834.0","Saturday","20150909"
"0","1","374","","1.0","182925.0","Saturday","20150902"
"0","3","373","","1.0","225632.0","Friday","20150901"
"0","2","275","","23281.0","51735.0","Wednesday","20150913"
"0","3","271","","1.0","1410.0","Monday","20150918"
"0","4","334","","1.0","41835.0","Saturday","20150923"
"0","3","563","","1.0","2317.0","Thursday","20150928"
"0","4","10","","1.0","184433.0","Monday","20150911"
"0","5","439","","1.0","205435.0","Wednesday","20150913"
"0","3","352","","1.0","32049.0","Saturday","20150909"
"0","1","338","","1.0","182242.0","Tuesday","20150919"
"0","3","69","","1.0","51614.0","Thursday","20150914"
"0","5","219","","1.0","24433.0","Wednesday","20150906"
"0","3","238","","1.0","172517.0","Friday","20150908"
"0","5","348","","1.0","192419.0","Wednesday","20150927"
"0","5","163","","1.0","171410.0","Saturday","20150923"
"0","5","523","","1.0","172241.0","Monday","20150918"
"0","3","549","","1.0","65552.0","Tuesday","20150905"
"0","5","580","","1.0","222053.0","Saturday","20150916"
"0","5","263","","1.0","64953.0","Monday","20150925"
"0","2","573","","1.0","212442.0","Monday","20150911"
"0","3","567","","1.0","94617.0","Tuesday","20150926"
"0","3","394","","1.0","25050.0","Wednesday","20150920"
"0","2","167","","1.0","61310.0","Monday","20150904"
"0","3","156","","1.0","102937.0","Tuesday","20150926"
"0","5","342","","1.0","204538.0","Friday","20150922"
"0","2","365","","1.0","221731.0","Wednesday","20150906"
"0","5","511","","1.0","183623.0","Tuesday","20150919"
"0","2","393","","1.0","112911.0","Wednesday","20150906"
"0","2","154","","1.0","184923.0","Wednesday","20150920"
"0","3","208","","1.0","151021.0","Wednesday","20150906"
"0","3","344","","1.0","212715.0","Tuesday","20150905"
"0","4","73","","1.0","104031.0","Saturday","20150909"
"0","3","324","","1.0","203257.0","Wednesday","20150913"
"4","5","583","","26161.0","1026.0","Thursday","20150907"
"4","0","270","","23281.0","211842.0","Saturday","20150930"
"4","0","511","","1.0","204125.0","Wednesday","20150913"
"4","3","78","","19201.0","111037.0","Thursday","20150928"
"4","0","214","","1.0","43235.0","Saturday","20150909"
"4","5","110","","1.0","185634.0","Friday","20150929"
"4","3","327","","1.0","232422.0","Tuesday","20150905"
"4","5","547","","1.0","234714.0","Saturday","20150923"
"4","0","75","","1.0","2035.0","Tuesday","20150926"
"4","0","315","","1.0","31546.0","Saturday","20150916"
"4","3","431","","1.0","235423.0","Friday","20150929"
"4","1","554","","12721.0","221239.0","Thursday","20150921"
"4","5","326","","1.0","162013.0","Monday","20150904"
"4","2","465","","3841.0","134847.0","Thursday","20150921"
"4","0","309","","1.0","53122.0","Friday","20150929"
"4","5","436","","1.0","1855.0","Wednesday","20150906"
"4","1","425","","1.0","42057.0","Monday","20150904"
"4","3","51","","1.0","15025.0","Thursday","20150907"
"4","5","224","","1.0","131648.0","Monday","20150904"
"4","1","364","","1.0","213327.0","Friday","20150915"
"4","5","445","","1.0","174253.0","Tuesday","20150919"
"5","2","258","","1.0","11634.0","Monday","20150911"
"5","0","197","","1.0","22429.0","Monday","20150911"
"5","3","255","","1.0","204413.0","Tuesday","20150912"
"5","4","82","","1.0","213918.0","Saturday","20150916"
"5","3","380","","1.0","175220.0","Friday","20150922"
"5","1","545","","1.0","85118.0","Tuesday","20150919"
"5","0","291","","1.0","225254.0","Friday","20150908"
"5","0","376","","1.0","104345.0","Monday","20150918"
"5","4","375","","1.0","4029.0","Tuesday","20150912"
"5","1","449","","1.0","194739.0","Thursday","20150907"
"5","4","449","","1.0","131056.0","Saturday","20150923"
"5","3","549","","1.0","204622.0","Friday","20150901"
"5","3","174","","1.0","214436.0","Thursday","20150914"
"5","0","245","","1.0","53723.0","Wednesday","20150906"
"5","0","304","","1.0","81510.0","Wednesday","20150927"
"5","1","73","","1.0","221727.0","Monday","20150904"
"5","2","103","","1.0","121320.0","Monday","20150925"
"5","3","444","","1.0","101223.0","Friday","20150901"
"5","4","118","","1.0","192524.0","Tuesday","20150919"
"5","1","105","","1.0","185545.0","Saturday","20150930"
"5","3","492","","1.0","64955.0","Friday","20150915"
"5","4","41","","1.0","164328.0","Tuesday","20150919"
"3","0","497","","1.0","25455.0","Saturday","20150902"
"3","0","352","","1.0","111845.0","Friday","20150929"
"3","2","315","","1.0","64241.0","Saturday","20150909"
"3","1","306","","1.0","45623.0","Wednesday","20150927"
"3","2","104","","1.0","182334.0","Wednesday","20150913"
"3","5","583","","1.0","141218.0","Wednesday","20150906"
"3","5","254","","1.0","162050.0","Monday","20150925"
"3","0","320","","1.0","145237.0","Thursday","20150914"
"3","1","386","","1.0","51643.0","Friday","20150901"
"3","5","485","","1.0","81154.0","Thursday","20150928"
"3","5","392","","1.0","124748.0","Tuesday","20150905"
"3","2","585","","1.0","184515.0","Tuesday","20150912"
"3","4","46","","1.0","11731.0","Thursday","20150907"
"3","4","413","","1.0","101525.0","Saturday","20150923"
"3","0","83","","1.0","15045.0","Friday","20150922"
"3","5","375","","1.0","175028.0","Saturday","20150923"
"2","1","446","","1681.0","213313.0","Tuesday","20150905"
"2","4","157","","13441.0","31412.0","Monday","20150904"
"2","5","245","","6961.0","202845.0","Saturday","20150909"
"2","3","153","","12961.0","152621.0","Tuesday","20150912"
"2","5","151","","1.0","63554.0","Saturday","20150923"
"2","0","20","","12001.0","55243.0","Tuesday","20150905"
"2","5","19","","1.0","44738.0","Monday","20150911"
"2","5","26","","1.0","122251.0","Thursday","20150921"
"2","1","63","","1.0","94910.0","Saturday","20150909"
"2","3","187","","1.0","104420.0","Monday","20150925"
"2","4","231","","1.0","154447.0","Monday","20150918"
"2","5","220","","1.0","141717.0","Saturday","20150930"
"2","4","289","","1.0","135719.0","Thursday","20150928"
"2","3","472","","1.0","163729.0","Saturday","20150916"
"2","0","439","","1.0","111138.0","Friday","20150922"
"2","4","294","","1.0","105556.0","Wednesday","20150927"
"2","4","388","","1.0","41937.0","Tuesday","20150919"
"2","4","67","","1.0","31242.0","Saturday","20150902"
"4","3","70","","1.0","75940.0","Monday","20150904"
"4","0","262","","1.0","202149.0","Wednesday","20150913"
"4","5","551","","1.0","61435.0","Thursday","20150928"
"4","2","71","","1.0","171433.0","Friday","20150922"
"4","3","85","","1.0","121857.0","Tuesday","20150919"
"4","2","172","","1.0","111825.0","Wednesday","20150927"
"4","1","501","","1.0","141335.0","Friday","20150929"
"4","0","495","","1.0","144634.0","Monday","20150911"
"4","0","22","","1.0","91130.0","Saturday","20150909"
"4","1","555","","1.0","72557.0","Monday","20150904"
"4","5","405","","1.0","103132.0","Thursday","20150921"
"4","3","10","","1.0","74153.0","Thursday","20150928"
"4","3","481","","1.0","102633.0","Thursday","20150928"
"4","1","185","","1.0","22336.0","Friday","20150915"
"4","1","117","","1.0","135456.0","Tuesday","20150912"
"4","1","126","","1.0","34547.0","Monday","20150904"
"4","5","164","","1.0","22551.0","Wednesday","20150913"
"4","0","278","","1.0","181618.0","Wednesday","20150906"
"4","2","102","","1.0","204427.0","Friday","20150908"
"4","5","85","","1.0","44628.0","Monday","20150904"
"4","5","497","","1.0","201827.0","Saturday","20150902"
"4","2","256","","1.0","223644.0","Wednesday","20150913"
"4","3","522","","1.0","43559.0","Friday","20150929"
"4","1","42","","1.0","21941.0","Saturday","20150902"
"4","5","35","","1.0","1314.0","Wednesday","20150913"
"5","0","544","","1.0","225641.0","Wednesday","20150920"
"5","0","320","","1.0","193525.0","Saturday","20150902"
"5","0","273","","1.0","62542.0","Wednesday","20150920"
"5","0","340","","1.0","73733.0","Saturday","20150923"
"5","2","570","","1.0","35730.0","Wednesday","20150906"
"5","3","368","","1.0","23810.0","Friday","20150908"
"5","0","436","","1.0","63249.0","Friday","20150908"
"5","4","469","","1.0","61143.0","Monday","20150904"
"5","3","343","","1.0","175042.0","Thursday","20150907"
"5","3","485","","1.0","44725.0","Friday","20150929"
"5","3","109","","1.0","204125.0","Wednesday","20150906"
"5","0","312","","1.0","191635.0","Wednesday","20150906"
"5","0","120","","1.0","162956.0","Saturday","20150916"
"5","4","310","","1.0","235945.0","Thursday","20150907"
"5","0","454","","1.0","113425.0","Saturday","20150909"
"5","3","152","","1.0","224848.0","Thursday","20150914"
"5","4","246","","1.0","24140.0","Thursday","20150914"
"5","4","180","","1.0","193628.0","Saturday","20150930"
"5","0","380","","1.0","71052.0","Monday","20150925"
"0","2","463","","1.0","15945.0","Friday","20150929"
"0","3","543","","1.0","141654.0","Thursday","20150921"
"0","2","195","","1.0","32748.0","Wednesday","20150913"
"0","3","372","","1.0","182339.0","Friday","20150915"
"0","5","105","","1.0","193352.0","Friday","20150922"
"0","5","103","","1.0","95720.0","Friday","20150929"
"0","5","592","","1.0","222034.0","Friday","20150922"
"0","1","79","","1.0","91539.0","Friday","20150915"
"0","5","518","","1.0","135918.0","Tuesday","20150905"
"0","4","393","","1.0","183656.0","Thursday","20150914"
"0","2","421","","1.0","211857.0","Thursday","20150907"
"0","1","225","","1.0","91218.0","Saturday","20150923"
"0","5","563","","1.0","21628.0","Friday","20150929"
"0","4","406","","1.0","214341.0","Saturday","20150916"
"0","3","396","","1.0","94721.0","Thursday","20150921"
"0","5","378","","1.0","125432.0","Friday","20150901"
"0","2","216","","1.0","91256.0","Monday","20150904"
"0","4","321","","1.0","64439.0","Friday","20150915"
"0","4","407","","1.0","55749.0","Monday","20150918"
"0","1","129","","1.0","92214.0","Friday","20150929"
"0","5","293","","1.0","105113.0","Tuesday","20150919"
"0","3","392","","1.0","24444.0","Saturday","20150923"
"0","3","340","","1.0","34925.0","Friday","20150901"
"4","5","454","","1.0","134051.0","Friday","20150908"
"4","1","451","","1.0","13749.0","Monday","20150925"
"4","0","438","","1.0","92451.0","Monday","20150918"
"4","3","549","","1.0","3922.0","Monday","20150904"
"4","5","555","","1.0","3837.0","Wednesday","20150906"
"4","3","371","","1.0","55655.0","Saturday","20150930"
"4","2","226","","1.0","191651.0","Monday","20150918"
"4","0","553","","1.0","75215.0","Wednesday","20150906"
"4","5","347","","1.0","115035.0","Monday","20150918"
"4","5","284","","1.0","72151.0","Friday","20150922"
"4","3","457","","1.0","15044.0","Wednesday","20150906"
"4","5","159","","1.0","183954.0","Monday","20150904"
"4","0","592","","1.0","41836.0","Monday","20150911"
"4","0","534","","1.0","225039.0","Saturday","20150930"
"4","3","411","","1.0","83117.0","Friday","20150901"
"4","0","487","","1.0","143515.0","Thursday","20150914"
"4","3","374","","1.0","214523.0","Tuesday","20150905"
"4","0","217","","1.0","192338.0","Thursday","20150921"
"4","3","145","","1.0","172515.0","Monday","20150904"
"4","1","49","","1.0","184910.0","Monday","20150904"
"4","5","223","","1.0","172052.0","Saturday","20150923"
"4","5","157","","1.0","91920.0","Monday","20150925"
"0","5","394","","1.0","61132.0","Thursday","20150928"
"0","5","85","","1.0","5938.0","Saturday","20150930"
"0","3","214","","1.0","74258.0","Saturday","20150930"
"0","2","481","","1.0","191843.0","Thursday","20150914"
"0","3","375","","1.0","103456.0","Thursday","20150907"
"0","1","216","","1.0","83534.0","Thursday","20150907"
"0","1","568","","1.0","132333.0","Friday","20150908"
"0","5","65","","1.0","112521.0","Thursday","20150928"
"0","2","322","","1.0","52442.0","Tuesday","20150919"
"0","3","227","","1.0","193633.0","Wednesday","20150920"
"0","3","491","","1.0","233957.0","Friday","20150922"
"0","4","245","","1.0","55513.0","Monday","20150904"
"0","1","421","","1.0","43055.0","Friday","20150915"
"0","3","370","","1.0","122555.0","Friday","20150908"
"0","4","490","","1.0","154023.0","Saturday","20150923"
"0","3","352","","1.0","135340.0","Friday","20150915"
"0","2","440","","1.0","105740.0","Saturday","20150909"
"0","1","184","","1.0","172819.0","Friday","20150915"
"0","4","537","","1.0","11739.0","Saturday","20150916"
"0","5","45","","1.0","192522.0","Tuesday","20150912"
"0","5","228","","1.0","234735.0","Friday","20150908"
"0","4","301","","1.0","52846.0","Friday","20150915"
"0","2","55","","1.0","52219.0","Wednesday","20150913"
"0","4","554","","1.0","13436.0","Tuesday","20150926"
"0","4","503","","1.0","54013.0","Monday","20150904"
"0","5","178","","1.0","93819.0","Friday","20150922"
"0","3","553","","1.0","123454.0","Wednesday","20150920"
"0","5","309","","1.0","235632.0","Monday","20150925"
"0","1","99","","1.0","5113.0","Thursday","20150914"
"0","5","96","","1.0","201013.0","Saturday","20150902"
"0","3","20","","1.0","52753.0","Monday","20150925"
"0","3","559","","1.0","51241.0","Monday","20150918"
"0","4","238","","1.0","74454.0","Tuesday","20150912"
"0","2","548","","1.0","111338.0","Friday","20150915"
"0","5","273","","1.0","111323.0","Monday","20150911"
"0","3","560","","1.0","202830.0","Friday","20150908"
"0","3","312","","1.0","212713.0","Thursday","20150914"
"0","5","380","","1.0","81028.0","Monday","20150918"
"0","1","108","","1.0","52253.0","Wednesday","20150913"
"0","4","593","","1.0","223433.0","Friday","20150915"
"0","2","483","","1.0","65739.0","Friday","20150901"
"0","4","401","","1.0","43420.0","Monday","20150904"
"2","4","396","","1.0","163444.0","Tuesday","20150926"
"2","0","322","","1.0","181521.0","Monday","20150925"
"2","3","54","","1.0","131948.0","Thursday","20150921"
"2","0","527","","1.0","135422.0","Saturday","20150902"
"2","4","485","","1.0","233432.0","Friday","20150915"
"2","3","133","","1.0","111419.0","Thursday","20150928"
"2","0","504","","1.0","15323.0","Wednesday","20150906"
"2","0","122","","1.0","73221.0","Thursday","20150928"
"2","0","216","","1.0","1837.0","Saturday","20150916"
"2","1","110","","1.0","11542.0","Wednesday","20150913"
"2","4","109","","1.0","231123.0","Friday","20150901"
"2","5","330","","1.0","32348.0","Saturday","20150923"
"2","0","336","","1.0","13852.0","Monday","20150911"
"2","3","167","","1.0","185134.0","Wednesday","20150927"
"2","3","237","","1.0","123411.0","Wednesday","20150913"
"2","3","484","","1.0","162443.0","Friday","20150922"
"2","4","324","","1.0","24436.0","Tuesday","20150912"
"2","4","487","","1.0","214528.0","Saturday","20150902"
"2","1","169","","1.0","181525.0","Saturday","20150923"
"2","5","584","","1.0","13228.0","Friday","20150915"
"2","0","62","","1.0","5820.0","Wednesday","20150927"
"2","3","427","","1.0","163722.0","Wednesday","20150906"
"2","5","185","","1.0","212859.0","Monday","20150911"
"2","3","390","","1.0","44621.0","Saturday","20150909"
"2","0","125","","1.0","62010.0","Wednesday","20150920"
"2","3","411","","1.0","155758.0","Wednesday","20150920"
"3","5","311","","1.0","61046.0","Thursday","20150928"
"3","5","43","","1.0","164322.0","Tuesday","20150919"
"3","0","550","","1.0","155254.0","Tuesday","20150905"
"3","5","327","","1.0","34333.0","Wednesday","20150927"
"3","4","293","","1.0","211833.0","Friday","20150929"
"3","0","418","","1.0","111251.0","Wednesday","20150927"
"3","0","467","","1.0","133849.0","Friday","20150901"
"3","5","213","","1.0","212016.0","Friday","20150901"
"3","2","440","","1.0","85031.0","Thursday","20150928"
"3","0","533","","1.0","215315.0","Saturday","20150909"
"3","5","488","","1.0","231451.0","Monday","20150911"
"3","4","257","","1.0","155143.0","Thursday","20150921"
"3","5","591","","1.0","114522.0","Wednesday","20150927"
"3","5","440","","1.0","175814.0","Saturday","20150909"
"3","5","467","","1.0","173855.0","Monday","20150911"
"3","1","480","","1.0","234256.0","Monday","20150904"
"3","1","584","","1.0","75151.0","Friday","20150922"
"3","1","124","","1.0","54955.0","Thursday","20150914"
"3","5","508","","1.0","135834.0","Thursday","20150921"
"3","1","307","","1.0","115516.0","Friday","20150901"
"3","4","581","","1.0","214638.0","Monday","20150925"
"3","2","398","","1.0","105211.0","Tuesday","20150912"
"3","2","497","","1.0","13546.0","Tuesday","20150905"
"3","5","487","","1.0","74252.0","Friday","20150922"
"3","4","509","","1.0","233415.0","Wednesday","20150906"
"3","0","19","","1.0","154440.0","Tuesday","20150905"
"3","0","12","","1.0","141920.0","Saturday","20150930"
"3","4","118","","1.0","142142.0","Friday","20150922"
"3","0","270","","1.0","161834.0","Tuesday","20150905"
"3","0","113","","1.0","81411.0","Saturday","20150923"
"3","4","181","","1.0","155451.0","Tuesday","20150926"
"3","5","543","","1.0","72244.0","Thursday","20150921"
"3","4","370","","1.0","223338.0","Wednesday","20150927"
"3","0","181","","1.0","105534.0","Thursday","20150921"
"3","2","420","","1.0","21717.0","Saturday","20150902"
"3","2","219","","1.0","135411.0","Friday","20150908"
"3","0","163","","1.0","12521.0","Saturday","20150916"
"3","5","250","","1.0","182927.0","Friday","20150929"
"3","0","323","","1.0","54636.0","Friday","20150929"
"3","2","524","","1.0","132740.0","Wednesday","20150927"
"3","1","553","","1.0","94530.0","Saturday","20150916"
"3","4","475","","1.0","194416.0","Friday","20150922"
"3","0","125","","1.0","224159.0","Friday","20150908"
"3","5","74","","1.0","222732.0","Tuesday","20150912"
"1","3","399","","1.0","62629.0","Thursday","20150928"
"1","2","517","","1.0","141857.0","Tuesday","20150926"
"1","0","234","","1.0","152631.0","Monday","20150911"
"1","0","65","","1.0","225427.0","Tuesday","20150912"
"1","5","505","","1.0","82720.0","Saturday","20150930"
"1","4","419","","1.0","225430.0","Saturday","20150916"
"1","4","284","","1.0","205745.0","Monday","20150918"
"1","5","233","","1.0","124418.0","Thursday","20150907"
"1","0","174","","1.0","235133.0","Tuesday","20150905"
"1","0","223","","1.0","13457.0","Saturday","20150923"
"1","2","35","","1.0","3742.0","Thursday","20150914"
"1","2","562","","1.0","192546.0","Friday","20150908"
"1","5","475","","1.0","171527.0","Friday","20150922"
"1","5","464","","1.0","221759.0","Thursday","20150914"
"1","4","517","","1.0","61155.0","Tuesday","20150905"
"1","3","388","","1.0","134634.0","Wednesday","20150920"
"1","5","268","","1.0","161539.0","Wednesday","20150920"
"1","0","35","","1.0","164338.0","Thursday","20150921"
"1","0","144","","1.0","185944.0","Friday","20150908"
"1","0","78","","1.0","172417.0","Wednesday","20150920"
"1","4","512","","1.0","222238.0","Tuesday","20150905"
"1","0","166","","1.0","185658.0","Wednesday","20150906"
"1","4","448","","1.0","85147.0","Saturday","20150902"
"1","3","73","","1.0","62647.0","Saturday","20150916"
"1","0","311","","1.0","83611.0","Wednesday","20150927"
"5","4","373","","1.0","84043.0","Wednesday","20150927"
"5","3","540","","1.0","43442.0","Monday","20150911"
"5","4","581","","1.0","92522.0","Friday","20150929"
"5","2","34","","1.0","64654.0","Saturday","20150923"
"5","0","399","","1.0","161659.0","Tuesday","20150912"
"5","2","339","","1.0","184759.0","Saturday","20150916"
"5","0","389","","1.0","232818.0","Thursday","20150914"
"5","3","507","","1.0","153518.0","Thursday","20150907"
"5","3","129","","1.0","55445.0","Saturday","20150909"
"5","3","528","","1.0","162511.0","Friday","20150908"
"5","4","512","","1.0","204755.0","Tuesday","20150926"
"5","3","317","","1.0","145336.0","Monday","20150911"
"5","2","45","","1.0","222157.0","Monday","20150925"
"5","2","482","","1.0","222658.0","Saturday","20150923"
"5","4","324","","1.0","34945.0","Wednesday","20150920"
"5","1","105","","1.0","185427.0","Saturday","20150902"
"5","0","418","","1.0","55557.0","Friday","20150901"
"5","3","139","","1.0","204928.0","Saturday","20150916"
"5","0","598","","1.0","41156.0","Saturday","20150923"
