"number","outgoing","incoming","carrier","gender","color","closeness","eccentricity","arpu","betweenness","communityID","age","promotion"
"089-1000092","0","10","DTAC","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000008","42","9","AIS","female","#5851cd","1.7","3.0","459","42.28923992673993","4","33","b"
"089-1000099","0","12","DTAC","unknown","#b94b85","0.0","0.0","unknown","0.0","1","unknown","unknown"
"089-1000007","40","4","AIS","male","#cd78aa","1.71","3.0","659","30.143334443334442","0","39","d"
"089-1000066","0","8","TRUE","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000016","42","10","AIS","male","#cd78aa","1.71","3.0","580","58.8186272061272","0","25","a"
"089-1000005","42","7","AIS","female","#7f6045","1.75","3.0","437","83.17437839937841","2","33","i"
"089-1000058","0","8","DTAC","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000055","0","9","TRUE","unknown","#5851cd","0.0","0.0","unknown","0.0","4","unknown","unknown"
"089-1000015","34","12","AIS","male","#eea399","1.79","3.0","499","93.83880286380284","3","40","g"
"089-1000023","0","7","DTAC","unknown","#b94b85","0.0","0.0","unknown","0.0","1","unknown","unknown"
"089-1000000","60","8","AIS","female","#eea399","1.59","3.0","844","71.06095016095016","3","22","g"
"089-1000025","0","13","DTAC","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000039","0","7","DTAC","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000035","0","11","TRUE","unknown","#5851cd","0.0","0.0","unknown","0.0","4","unknown","unknown"
"089-1000081","0","11","TRUE","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000004","48","7","AIS","female","#b94b85","1.7","3.0","430","29.46593129093129","1","32","i"
"089-1000022","0","8","TRUE","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000029","0","7","DTAC","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000071","0","7","DTAC","unknown","#7f6045","0.0","0.0","unknown","0.0","2","unknown","unknown"
"089-1000053","0","16","DTAC","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000045","0","10","TRUE","unknown","#b94b85","0.0","0.0","unknown","0.0","1","unknown","unknown"
"089-1000032","0","16","DTAC","unknown","#5851cd","0.0","0.0","unknown","0.0","4","unknown","unknown"
"089-1000086","0","12","DTAC","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000093","0","15","DTAC","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000085","0","8","TRUE","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000088","0","8","TRUE","unknown","#5851cd","0.0","0.0","unknown","0.0","4","unknown","unknown"
"089-1000036","0","8","DTAC","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000063","0","14","TRUE","unknown","#5851cd","0.0","0.0","unknown","0.0","4","unknown","unknown"
"089-1000072","0","11","TRUE","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000041","0","5","TRUE","unknown","#b94b85","0.0","0.0","unknown","0.0","1","unknown","unknown"
"089-1000009","50","10","AIS","female","#a7cc45","1.76","3.0","752","63.81644189144188","5","25","c"
"089-1000030","0","15","TRUE","unknown","#7f6045","0.0","0.0","unknown","0.0","2","unknown","unknown"
"089-1000074","0","5","TRUE","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000059","0","3","DTAC","unknown","#7f6045","0.0","0.0","unknown","0.0","2","unknown","unknown"
"089-1000062","0","8","DTAC","unknown","#b94b85","0.0","0.0","unknown","0.0","1","unknown","unknown"
"089-1000084","0","9","TRUE","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000043","0","9","DTAC","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000049","0","14","TRUE","unknown","#5851cd","0.0","0.0","unknown","0.0","4","unknown","unknown"
"089-1000056","0","14","DTAC","unknown","#7f6045","0.0","0.0","unknown","0.0","2","unknown","unknown"
"089-1000083","0","10","DTAC","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000075","0","14","DTAC","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000087","0","4","TRUE","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000096","0","13","TRUE","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000077","0","11","DTAC","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000067","0","15","DTAC","unknown","#5851cd","0.0","0.0","unknown","0.0","4","unknown","unknown"
"089-1000100","0","6","TRUE","unknown","#7f6045","0.0","0.0","unknown","0.0","2","unknown","unknown"
"089-1000034","0","7","DTAC","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000054","0","11","TRUE","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000068","0","11","TRUE","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000064","0","8","TRUE","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000098","0","7","TRUE","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000097","0","7","DTAC","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000090","0","10","TRUE","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000069","0","9","DTAC","unknown","#5851cd","0.0","0.0","unknown","0.0","4","unknown","unknown"
"089-1000044","0","8","DTAC","unknown","#5851cd","0.0","0.0","unknown","0.0","4","unknown","unknown"
"089-1000057","0","16","DTAC","unknown","#b94b85","0.0","0.0","unknown","0.0","1","unknown","unknown"
"089-1000024","0","9","DTAC","unknown","#5851cd","0.0","0.0","unknown","0.0","4","unknown","unknown"
"089-1000080","0","5","DTAC","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000078","0","9","DTAC","unknown","#b94b85","0.0","0.0","unknown","0.0","1","unknown","unknown"
"089-1000051","0","9","DTAC","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000026","0","8","TRUE","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000031","0","12","DTAC","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000037","0","10","TRUE","unknown","#b94b85","0.0","0.0","unknown","0.0","1","unknown","unknown"
"089-1000052","0","4","TRUE","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000040","0","7","DTAC","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
